simulation,log10_M200,log10_Mgas,log10_MHI
FIREbox,9.9356,8.1629,7.1753
FIREbox,9.9149,8.1572,6.2791
FIREbox,9.9141,8.0565,6.8994
FIREbox,9.8907,8.1941,6.8904
NIVARIA-LG,9.9522,8.6941,7.9155
NIVARIA-LG,9.9185,8.5798,7.9470
NIVARIA-LG,9.8617,8.2841,7.8011
NIVARIA-LG,9.7246,8.2054,7.2859
NIVARIA-LG,9.6353,8.3443,7.8617
NIVARIA-LG,9.6182,8.3338,7.9271
NIVARIA-LG,9.2768,7.6660,6.7933
NIVARIA-LG,9.2492,7.7597,7.0131
Recal-EAGLE,9.453491,7.327208,6.904905
Recal-EAGLE,9.470690,7.630765,6.435679
Recal-EAGLE,9.475073,7.595899,6.576060
Recal-EAGLE,9.489215,7.207725,6.715183
Recal-EAGLE,9.509783,7.558065,6.672219
Recal-EAGLE,9.525201,7.456495,6.974413
Recal-EAGLE,9.529836,7.623076,6.421889
Recal-EAGLE,9.549100,7.859212,6.769746
Recal-EAGLE,9.560407,7.400070,6.354061
Recal-EAGLE,9.584301,7.710182,6.477670
Recal-EAGLE,9.587969,7.925478,6.753364
Recal-EAGLE,9.610126,7.817368,6.368197
Recal-EAGLE,9.618173,7.408517,6.784933
Recal-EAGLE,9.628355,7.848175,6.305345
Recal-EAGLE,9.630323,7.693226,6.914117
Recal-EAGLE,9.635206,7.730217,6.518363
Recal-EAGLE,9.664816,7.738809,6.429799
Recal-EAGLE,9.669377,7.998497,7.057065
Recal-EAGLE,9.672892,7.644371,6.651005
Recal-EAGLE,9.675254,7.913279,6.388436
Recal-EAGLE,9.682333,7.953989,6.841481
Recal-EAGLE,9.683188,7.775212,6.287436
Recal-EAGLE,9.684356,7.750578,6.787726
Recal-EAGLE,9.711606,7.761138,6.500011
Recal-EAGLE,9.716567,7.775212,6.574165
Recal-EAGLE,9.731942,7.807037,6.266010
Recal-EAGLE,9.739188,7.825059,6.624575
Recal-EAGLE,9.744187,8.113123,7.015525
Recal-EAGLE,9.748465,7.906497,7.050265
Recal-EAGLE,9.843830,8.154535,7.062418
