nH_cm-3,T_pct25_K,T_pct75_K
1.412537544622755411e-06,1.411887196803658480e+04,3.029702602661416677e+04
2.818382931264449199e-06,1.585014842177497303e+04,3.201351294897937987e+04
5.623413251903491208e-06,2.065221638108678599e+04,3.788494548622658476e+04
1.122018454301965212e-05,2.471837974740542268e+04,4.265598745411023265e+04
2.238721138568337924e-05,2.827482984069608574e+04,5.013411274166932708e+04
4.466835921509634821e-05,2.896454206879399135e+04,5.248074602497733576e+04
8.912509381337458780e-05,2.476471494191225429e+04,5.155055357769252441e+04
1.778279410038922698e-04,2.068394304969237055e+04,4.458957503983150673e+04
3.548133892335753221e-04,1.733005735327082948e+04,3.348883193942217622e+04
7.079457843841373667e-04,1.530734956350729226e+04,2.634915344876019662e+04
1.412537544622753964e-03,1.471295816178039422e+04,2.171867533944506795e+04
2.818382931264452190e-03,1.269501836089357857e+04,1.782105183194993879e+04
5.623413251903490971e-03,1.155757357096467786e+04,1.434167907404111611e+04
1.122018454301963557e-02,1.118750734189232026e+04,1.283512196839496210e+04
2.238721138568339902e-02,1.055601503215930279e+04,1.260859417743073391e+04
4.466835921509629964e-02,9.974703613396210130e+03,1.211899668468154050e+04
8.912509381337449521e-02,9.498754574428012347e+03,1.162161988635955095e+04
1.778279410038920982e-01,9.052461087754967593e+03,1.099005839432522043e+04
3.548133892335753048e-01,8.879053374572418761e+03,1.036811964061025537e+04
7.079457843841380216e-01,8.879053374572418761e+03,1.016950935115943685e+04
