nH_cm-3,simulation,log_ratio_lower,log_ratio_upper
1.41253754e-06,Recal-EAGLE,-0.030177,0.056928
2.81838293e-06,Recal-EAGLE,-0.031399,0.072573
5.62341325e-06,Recal-EAGLE,-0.028114,0.091547
1.12201845e-05,Recal-EAGLE,-0.027931,0.109591
2.23872114e-05,Recal-EAGLE,-0.021820,0.136466
4.46683592e-05,Recal-EAGLE,-0.011215,0.146835
8.91250938e-05,Recal-EAGLE,-0.023475,0.155724
1.77827941e-04,Recal-EAGLE,-0.017577,0.130857
3.54813389e-04,Recal-EAGLE,-0.017224,0.074570
7.07945784e-04,Recal-EAGLE,-0.018671,0.032843
1.41253754e-03,Recal-EAGLE,-0.015036,0.018943
2.81838293e-03,Recal-EAGLE,-0.009714,0.007986
5.62341325e-03,Recal-EAGLE,-0.009264,0.007216
1.12201845e-02,Recal-EAGLE,-0.009380,0.008740
2.23872114e-02,Recal-EAGLE,-0.007467,0.011207
4.46683592e-02,Recal-EAGLE,-0.007419,0.007002
8.91250938e-02,Recal-EAGLE,-0.001607,0.008253
1.41253754e-06,NIVARIA-LG,0.029423,0.361023
2.81838293e-06,NIVARIA-LG,-0.072814,0.232486
5.62341325e-06,NIVARIA-LG,-0.100394,0.163106
1.12201845e-05,NIVARIA-LG,-0.123412,0.113548
2.23872114e-05,NIVARIA-LG,-0.088600,0.160133
4.46683592e-05,NIVARIA-LG,-0.044036,0.214097
8.91250938e-05,NIVARIA-LG,-0.054725,0.263675
1.77827941e-04,NIVARIA-LG,-0.052516,0.281084
3.54813389e-04,NIVARIA-LG,-0.053375,0.232725
7.07945784e-04,NIVARIA-LG,-0.047054,0.188813
1.41253754e-03,NIVARIA-LG,-0.011358,0.157776
2.81838293e-03,NIVARIA-LG,-0.032270,0.115030
5.62341325e-03,NIVARIA-LG,-0.043123,0.050610
1.12201845e-02,NIVARIA-LG,-0.027170,0.032497
2.23872114e-02,NIVARIA-LG,-0.022490,0.054677
4.46683592e-02,NIVARIA-LG,-0.027003,0.057564
8.91250938e-02,NIVARIA-LG,-0.025304,0.062296
1.77827941e-01,NIVARIA-LG,-0.029136,0.055097
3.54813389e-01,NIVARIA-LG,-0.014604,0.052729
7.07945784e-01,NIVARIA-LG,0.000434,0.059367
2.81838293e-06,FIREbox,0.375766,0.476792
5.62341325e-06,FIREbox,-0.059870,0.049143
1.12201845e-05,FIREbox,-0.058596,0.051238
2.23872114e-05,FIREbox,-0.013199,0.050002
4.46683592e-05,FIREbox,0.033599,0.109098
8.91250938e-05,FIREbox,0.006819,0.215513
1.77827941e-04,FIREbox,0.007644,0.293561
3.54813389e-04,FIREbox,-0.012984,0.105008
7.07945784e-04,FIREbox,-0.028782,0.050244
1.41253754e-03,FIREbox,-0.048042,-0.005706
2.81838293e-03,FIREbox,-0.071680,-0.041792
5.62341325e-03,FIREbox,-0.119550,-0.067548
1.12201845e-02,FIREbox,-0.126761,-0.098242
2.23872114e-02,FIREbox,-0.065069,-0.041917
4.46683592e-02,FIREbox,-0.027245,-0.011238
8.91250938e-02,FIREbox,-0.005344,0.005971
1.77827941e-01,FIREbox,0.003317,0.013834
3.54813389e-01,FIREbox,0.009979,0.023053
7.07945784e-01,FIREbox,-0.078971,-0.001122
