curve,nH_cm-3,T_K
upper,1.02964488e-06,12416.236549
upper,1.27124806e-06,14090.218472
upper,1.45712528e-06,15334.711755
upper,1.80522287e-06,16783.505066
upper,2.10259619e-06,18145.260606
upper,2.26825962e-06,19192.606315
upper,2.54638778e-06,20381.893877
upper,2.74500690e-06,21852.668769
upper,3.06305731e-06,23125.326865
upper,3.40816738e-06,24439.312126
upper,3.77649270e-06,25747.172400
upper,4.07267331e-06,26959.465959
upper,4.44628514e-06,28185.212727
upper,4.88743284e-06,29732.820569
upper,5.25857460e-06,31185.554679
upper,5.81746839e-06,32618.134410
upper,6.40523257e-06,34507.564149
upper,7.29994750e-06,36214.146488
upper,8.21351665e-06,38047.657369
upper,9.63985304e-06,39961.360359
upper,1.08356249e-05,41888.922381
upper,1.26729660e-05,43623.767395
upper,1.46100019e-05,45418.332669
upper,1.77369102e-05,46994.865827
upper,2.29539425e-05,47526.915777
upper,2.97883750e-05,46645.439348
upper,3.71841686e-05,45800.330296
upper,4.85406899e-05,44570.952167
upper,5.85361324e-05,43448.482730
upper,7.11848449e-05,42217.153056
upper,8.46064732e-05,40654.595282
upper,1.01179159e-04,39130.196968
upper,1.16277390e-04,37301.759871
upper,1.35478723e-04,35419.224897
upper,1.53039654e-04,33500.771372
upper,1.74341486e-04,31778.610937
upper,1.98872963e-04,30291.987853
upper,2.21748462e-04,28826.678334
upper,2.54254797e-04,27359.342613
upper,2.81115328e-04,25981.822113
upper,3.10651989e-04,24731.035964
upper,3.41938100e-04,23626.516345
upper,3.81699137e-04,22573.278876
upper,4.30837218e-04,21532.802795
upper,4.77084203e-04,20609.768188
upper,5.44068710e-04,19852.039059
upper,6.23461533e-04,19113.487550
upper,7.05795467e-04,18411.399218
upper,8.02685506e-04,17900.030130
upper,9.50394160e-04,17381.313666
upper,1.11529896e-03,16660.927901
upper,1.36997178e-03,15870.596934
upper,1.70864234e-03,15201.055407
upper,2.12720019e-03,14516.164030
upper,3.03827818e-03,13775.046450
upper,4.15104714e-03,13391.841421
upper,5.43313847e-03,13027.869902
upper,7.25376800e-03,12614.532180
upper,9.98191644e-03,12295.796732
upper,1.31905269e-02,11955.523598
upper,1.65152160e-02,11673.350051
upper,2.23316311e-02,11409.861192
upper,2.94151313e-02,11169.797018
upper,3.81612308e-02,10940.399802
upper,5.21415795e-02,10638.597693
upper,7.16562064e-02,10343.597178
upper,9.50825648e-02,10237.673031
lower,1.02104441e-06,10566.169104
lower,1.15049199e-06,11045.157064
lower,1.26357838e-06,11671.595637
lower,1.50011796e-06,12666.404411
lower,1.71405127e-06,13610.294168
lower,1.94047050e-06,14479.908016
lower,2.21339634e-06,15507.399918
lower,2.59486312e-06,16585.117855
lower,2.84839400e-06,17548.245114
lower,3.06927149e-06,18329.403002
lower,3.40512574e-06,19490.418795
lower,3.84254822e-06,20526.802843
lower,4.29349387e-06,21549.885004
lower,4.79920367e-06,22755.962688
lower,5.43840890e-06,24075.001453
lower,6.35193878e-06,25581.903479
lower,7.33747881e-06,27112.353291
lower,8.39032690e-06,28390.750820
lower,9.75702519e-06,29665.684390
lower,1.16479696e-05,31106.562852
lower,1.45309373e-05,32163.719798
lower,2.05057003e-05,33006.916613
lower,2.71214051e-05,32904.287489
lower,3.61776305e-05,32042.737206
lower,4.67601281e-05,31066.398586
lower,6.20193889e-05,29609.686417
lower,7.35493331e-05,28031.764828
lower,9.02000852e-05,26526.194945
lower,1.05756318e-04,25320.031521
lower,1.25412011e-04,24297.634173
lower,1.49029889e-04,23359.713609
lower,1.80969477e-04,22325.339197
lower,2.07047471e-04,21331.240539
lower,2.58891996e-04,20065.179582
lower,3.14903276e-04,19319.769116
lower,3.83723215e-04,18522.388154
lower,4.62973677e-04,17865.553796
lower,5.52393431e-04,17134.595563
lower,6.72095470e-04,16503.636403
lower,8.27026830e-04,15864.647688
lower,1.03617052e-03,15301.687983
lower,1.30405319e-03,14758.166340
lower,1.61289854e-03,14312.099966
lower,2.12146297e-03,13799.225127
lower,2.73717600e-03,13413.582694
lower,3.99721023e-03,12881.915054
lower,5.56651388e-03,12508.012281
lower,7.87329884e-03,12062.394224
lower,1.02963890e-02,11748.960264
lower,1.34270463e-02,11461.922140
lower,1.81276454e-02,11155.076809
lower,2.47628001e-02,10820.459155
lower,3.42619343e-02,10654.730766
lower,4.53539968e-02,10422.295130
lower,5.78976546e-02,10143.158665
lower,9.12061356e-02,10025.497892
