galaxyID,MHI_Msun,r_arcmin,NHI_intrinsic_cm-2,NHI_conv_FAST_cm-2,NHI_conv_FASTdiv2_cm-2
1.992000000000000000e+03,1.901472951705150073e+06,1.772076623343672164e-01,5.899680356609660682e+20,1.380031497664690176e+19,4.271217790272862618e+19
1.992000000000000000e+03,1.901472951705150073e+06,2.230912292773749583e-01,1.984204389140572406e+20,1.372437454983285760e+19,4.196843290031918285e+19
1.992000000000000000e+03,1.901472951705150073e+06,2.808552176856862204e-01,1.905711345054952980e+20,1.360487358464117760e+19,4.081623570304351437e+19
1.992000000000000000e+03,1.901472951705150073e+06,3.535757705794930206e-01,3.467772129750637363e+19,1.341760862965927936e+19,3.905487273775221146e+19
1.992000000000000000e+03,1.901472951705150073e+06,4.451255225772282054e-01,8.177888584339020186e+19,1.312608818847644262e+19,3.641841039364400742e+19
1.992000000000000000e+03,1.901472951705150073e+06,5.603798318106307796e-01,6.317750679569980621e+19,1.267699969320651366e+19,3.260138154263382835e+19
1.992000000000000000e+03,1.901472951705150073e+06,7.054764105233445326e-01,2.224214227459349299e+19,1.199655597517842227e+19,2.735838072099773235e+19
1.992000000000000000e+03,1.901472951705150073e+06,8.881421806291724952e-01,8.758677009243970560e+18,1.099227068822908314e+19,2.072957965581495910e+19
1.992000000000000000e+03,1.901472951705150073e+06,1.118104760480350457e+00,2.051808707625577472e+18,9.570230634537623552e+18,1.337085812560895181e+19
1.992000000000000000e+03,1.901472951705150073e+06,1.407610496016743928e+00,5.049416697073043840e+17,7.684199866692440064e+18,6.700209817656816640e+18
1.992000000000000000e+03,1.901472951705150073e+06,1.772076623343671109e+00,6.374561645292316800e+16,5.427551356757287936e+18,2.272228306444068352e+18
1.992000000000000000e+03,1.901472951705150073e+06,2.230912292773747918e+00,1.419471547878947000e+16,3.129843032345758208e+18,4.311950724396456320e+17
1.992000000000000000e+03,1.901472951705150073e+06,2.808552176856860871e+00,5.397724937588199000e+15,1.310015404483243520e+18,3.946158788625297600e+16
1.992000000000000000e+03,1.901472951705150073e+06,3.535757705794928984e+00,9.668562120235425000e+14,3.311549621854437120e+17,3.099070667726183500e+15
1.992000000000000000e+03,1.901472951705150073e+06,4.451255225772279722e+00,3.353854922903480000e+14,3.830350099688462400e+16,5.318153862940268125e+14
1.992000000000000000e+03,1.901472951705150073e+06,5.603798318106304244e+00,1.239416891380197344e+14,1.516714182823626250e+15,1.577080929785829062e+14
1.992000000000000000e+03,1.901472951705150073e+06,7.054764105233442884e+00,6.023031122970416406e+13,8.807774198201267188e+13,6.528895927028839062e+13
1.992000000000000000e+03,1.901472951705150073e+06,8.881421806291722731e+00,2.245055634653515234e+13,3.043480094060597266e+13,2.625936924840662109e+13
1.992000000000000000e+03,1.901472951705150073e+06,1.118104760480349924e+01,1.303567561037797656e+13,1.389613798515147656e+13,1.341351205092088867e+13
1.992000000000000000e+03,1.901472951705150073e+06,1.407610496016742907e+01,6.282803937358438477e+12,6.891718214572933594e+12,6.606347412605487305e+12
1.992000000000000000e+03,1.901472951705150073e+06,1.772076623343670221e+01,2.914029663157230469e+12,3.180343561432212402e+12,3.053616900398351562e+12
1.992000000000000000e+03,1.901472951705150073e+06,2.230912292773748007e+01,1.408927826836911865e+12,1.497579586538741943e+12,1.455211400470587158e+12
1.992000000000000000e+03,1.901472951705150073e+06,2.808552176856858296e+01,6.497280441344940186e+11,6.813999059696557617e+11,6.662173910246794434e+11
1.992000000000000000e+03,1.901472951705150073e+06,3.535757705794925698e+01,2.019828904891865845e+11,1.291383957922023315e+11,1.152307288819914856e+11
